IBGE;Estado_Municipio;NU_IDENTIFICADOR;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estado;DataCenso;DataCenso_2020;d_30_2_Faixas_etarias;d37_9;d37_11;d37_9bin1;d37_9bin2;d37_9bin3;d37_10bin1;d37_10bin2;d37_10bin3;d37_10bin4;d37_10bin5;d37_11bin1;d37_11bin2;d37_11bin3;d37_11bin4;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras;filter_$
130340;2;1303403309096;0;256;238;291;388;01/06/2020;1303403;13;1;Parintins;102033;69890;32143;Grande;5956,373;0;0;31.08.2020;31/ago/20;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;2,00;;;;;;;;;;2,00;2;1
150157;2;1501573311598;0;252;239;142;388;28/07/2016;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;0;0;31.08.2020;31/ago/20;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;4,00;;;;;;;;;;;4,00;4;1
150157;2;1501573311598;0;253;239;142;388;28/07/2016;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;0;0;31.08.2020;31/ago/20;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;4,00;;;;;;;;;;;4,00;4;1
150157;2;1501573311598;0;252;239;142;388;28/07/2020;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;0;0;31.08.2020;31/ago/20;2,00;0,00;4,00;1,00;;;;;;;;;;;1,00;4,00;;;;;;;;;;;4,00;4;1
150157;2;1501573311598;0;252;239;142;388;28/07/2016;1501576;15;1;Bom Jesus do Tocantins;15298;8158;7140;Pequeno I;2816,616;0;0;31.08.2020;31/ago/20;2,00;0,00;4,00;1,00;;;;;;;;;;;1,00;4,00;;;;;;;;;;;4,00;4;1
150230;2;1502303306524;0;257;232;291;388;06/02/2017;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553;0;0;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;;;1,00;;;;;1,00;;1,00;1,00;;;;1,00;;;;;2,00;2;1
150230;2;1502303306524;0;255;239;291;388;18/12/2017;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553;0;0;31.08.2020;31/ago/20;4,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;1,00;1,00;;;;1,00;;;;;2,00;2;1
150510;2;1505103306376;0;252;239;291;388;23/01/2012;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;0;0;31.08.2020;31/ago/20;5,00;0,00;4,00;1,00;;;;;;;;;;;1,00;3,00;5,00;1,00;;;;;;1,00;;;8,00;9;1
150510;2;1505103306376;0;255;239;265;388;09/01/2018;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;0;0;31.08.2020;31/ago/20;4,00;1,00;4,00;;1,00;;;;;;;;;;1,00;3,00;5,00;1,00;;;;;;1,00;;;8,00;9;1
150510;2;1505103306376;0;255;238;265;388;09/01/2018;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;0;0;31.08.2020;31/ago/20;4,00;1,00;4,00;;1,00;;;;;;;;;;1,00;3,00;5,00;1,00;;;;;;1,00;;;8,00;9;1
150510;2;1505103306376;0;252;239;265;388;29/11/2017;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;0;0;31.08.2020;31/ago/20;5,00;0,00;4,00;1,00;;;;;;;;;;;1,00;3,00;5,00;1,00;;;;;;1,00;;;8,00;9;1
150510;2;1505103306376;0;255;238;138;388;23/01/2012;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;0;0;31.08.2020;31/ago/20;3,00;1,00;1,00;;1,00;;;;;;;1,00;;;;3,00;5,00;1,00;;;;;;1,00;;;8,00;9;1
150510;2;1505103306376;0;252;239;265;388;08/12/2017;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;0;0;31.08.2020;31/ago/20;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;3,00;5,00;1,00;;;;;;1,00;;;8,00;9;1
150510;2;1505103306376;0;255;239;291;388;13/01/2012;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;0;0;31.08.2020;31/ago/20;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;3,00;5,00;1,00;;;;;;1,00;;;8,00;9;1
150510;2;1505103306376;0;257;235;265;388;01/01/2019;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;0;0;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;;;;;;;;;1,00;3,00;5,00;1,00;;;;;;1,00;;;8,00;9;1
150510;2;1505103306376;0;255;239;291;388;23/01/2012;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;0;0;31.08.2020;31/ago/20;2,00;1,00;4,00;;1,00;;;;;;;;;;1,00;3,00;5,00;1,00;;;;;;1,00;;;8,00;9;1
150563;2;1505633308394;0;252;239;291;388;20/12/2014;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708;0;0;31.08.2020;31/ago/20;1,00;0,00;4,00;1,00;;;;;;;;;;;1,00;1,00;1,00;;;;;;;;;;2,00;2;1
150563;2;1505633308394;0;255;239;291;388;01/10/2017;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708;0;0;31.08.2020;31/ago/20;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;1,00;1,00;;;;;;;;;;2,00;2;1
150680;2;1506803308526;0;252;239;265;388;21/03/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;5,00;0,00;4,00;1,00;;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
150680;2;1506803308526;0;252;239;291;388;02/01/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;5,00;0,00;4,00;1,00;;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
150680;2;1506803308526;0;253;239;265;388;25/07/2019;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;5,00;0,00;4,00;1,00;;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
150680;2;1506803308526;0;255;239;291;388;02/01/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;4,00;1,00;4,00;;1,00;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
150680;2;1506803308526;0;253;239;291;388;02/01/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;4,00;0,00;4,00;1,00;;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
150680;2;1506803308526;0;252;239;291;388;02/01/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
150680;2;1506803308526;0;254;239;265;388;10/03/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;4,00;0,00;4,00;1,00;;;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
150680;2;1506803308526;0;257;235;265;388;19/09/2019;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;0;0;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;;;;;;;;;1,00;7,00;3,00;1,00;;;;;;;;;11,00;11;1
