IBGE;Estado_Municipio;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;DataCenso;DataCenso_2020;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores;filter_$
150230;2;1502303306524;0;257;273;266;218;18;09/04/2019;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;4,00;2,00;1,00;;;1,00;;;1,00;3,00;4;
150230;2;1502303306524;0;257;275;266;218;20;28/07/2020;1502301;15;1;Capitão Poço;51893;21441;30452;Médio;2899,553;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;1,00;;;;;;;;1,00;;;4,00;2,00;1,00;;;1,00;;;1,00;3,00;4;
150510;2;1505103306376;1;255;238;266;217;18;04/01/2016;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;;31.08.2020;31/ago/20;1,00;1,00;4,00;;1,00;;;;;;;;;;1,00;;1,00;1,00;;;;1,00;;;;;2,00;2;
150510;2;1505103306376;0;257;232;266;218;20;01/09/2017;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;;;1,00;;;;;1,00;;1,00;1,00;;;;1,00;;;;;2,00;2;
150563;2;1505633308394;0;257;274;266;218;20;30/04/2015;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;3,00;1,00;1,00;;;1,00;;;;3,00;3;
150563;2;1505633308394;0;257;275;266;21;20;30/04/2015;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708;;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;1,00;;;;;;;;1,00;;;3,00;1,00;1,00;;;1,00;;;;3,00;3;
150563;2;1505633308394;1;257;273;266;218;18;05/06/2015;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;3,00;1,00;1,00;;;1,00;;;;3,00;3;
150680;2;1506803308526;0;256;273;266;218;20;01/07/2020;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;;31.08.2020;31/ago/20;4,00;1,00;4,00;;1,00;;;1,00;;;;;;;1,00;;1,00;1,00;;1,00;;;1,00;;;;2,00;2;
150680;2;1506803308526;0;257;274;266;21;18;02/01/2017;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;1,00;1,00;;1,00;;;1,00;;;;2,00;2;
160060;2;1600603310408;1;257;274;142;218;18;18/08/2017;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;3,00;;1,00;;;1,00;;;1,00;2,00;3;
160060;2;1600603310408;0;258;237;292;21;263;11/08/2017;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224;;31.08.2020;31/ago/20;3,00;2,00;3,00;;;1,00;;;;;;;;1,00;;;;3,00;;1,00;;;1,00;;;1,00;2,00;3;
160060;2;1600603310408;0;257;273;142;218;20;02/01/2019;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;3,00;;1,00;;;1,00;;;1,00;2,00;3;
170210;2;1702103305126;1;256;275;292;21;18;01/09/2020;1702109;17;1;Araguaína;150484;142925;7559;Grande;4000,416;;31.08.2020;31/ago/20;2,00;1,00;3,00;;1,00;;1,00;;;;;;;1,00;;;1,00;2,00;1,00;1,00;;;1,00;;;1,00;2,00;3;
170210;2;1702103305126;0;257;273;266;218;20;17/01/2017;1702109;17;1;Araguaína;150484;142925;7559;Grande;4000,416;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;1,00;2,00;1,00;1,00;;;1,00;;;1,00;2,00;3;
170210;2;1702103305126;0;257;274;266;218;272;13/05/2019;1702109;17;1;Araguaína;150484;142925;7559;Grande;4000,416;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;1,00;2,00;1,00;1,00;;;1,00;;;1,00;2,00;3;
170550;2;1705503306371;0;257;273;266;21;20;27/12/2017;1705508;17;1;Colinas do Tocantins;30838;29607;1231;Pequeno II;843,846;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;1,00;;1,00;;;;;;;1,00;1;
170610;2;1706103306579;0;257;273;266;218;20;19/11/2018;1706100;17;1;Cristalândia;7234;5924;1310;Pequeno I;1848,241;;31.08.2020;31/ago/20;3,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;1,00;;1,00;;;;;;;1,00;1;
171488;2;1714883308556;0;257;273;266;21;18;01/08/2019;1714880;17;1;Nova Olinda;10686;7465;3221;Pequeno I;1566,184;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;;;2,00;;1,00;;;1,00;;;;2,00;2;
171488;2;1714883308556;0;257;274;266;218;20;07/02/2019;1714880;17;1;Nova Olinda;10686;7465;3221;Pequeno I;1566,184;;31.08.2020;31/ago/20;2,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;;;2,00;;1,00;;;1,00;;;;2,00;2;
17;1;1721003308700;0;254;239;266;254;20;22/05/2017;;17;1;;;;;;;;31.08.2020;31/ago/20;3,00;0,00;4,00;1,00;;;;;;;;;;;1,00;1,00;;4,00;;2,00;;;1,00;2,00;;;3,00;5;0
17;1;1721003308700;0;257;274;266;254;20;22/05/2017;;17;1;;;;;;;;31.08.2020;31/ago/20;1,00;2,00;4,00;;;1,00;;;;;1,00;;;;1,00;1,00;;4,00;;2,00;;;1,00;2,00;;;3,00;5;0
17;1;1721003308700;0;257;273;266;254;20;22/05/2017;;17;1;;;;;;;;31.08.2020;31/ago/20;4,00;2,00;4,00;;;1,00;;1,00;;;;;;;1,00;1,00;;4,00;;2,00;;;1,00;2,00;;;3,00;5;0
17;1;1721003308700;0;257;273;138;216;20;01/01/2018;;17;1;;;;;;;;31.08.2020;31/ago/20;4,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;1,00;;4,00;;2,00;;;1,00;2,00;;;3,00;5;0
