IBGE;q25_3;q25_8;q25_9;q25_10;q25_11;q25_12;q25_13;UF;Regiao;Q_incompleto;DataCenso;DataCenso_2021;Faixas_etarias;d25_8;d25_8bin1;d25_8bin2;d25_8bin3;d25_9;d25_9bin1;d25_9bin2;d25_9bin3;d25_9bin4;d25_9bin5;d25_10;d25_10bin1;d25_10bin2;d25_10bin3;d25_10bin4;d25_8bin1_sum;d25_8bin2_sum;d25_8bin3_sum;d25_9bin1_sum;d25_9bin2_sum;d25_9bin3_sum;d25_9bin4_sum;d25_9bin5_sum;d25_10bin1_sum;d25_10bin2_sum;d25_10bin3_sum;d25_10bin4_sum;nu_trabalhador
12;2;257;237;292;249;20; ;12;2; ;31.08.2021;8/31/2021;3;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;1;5;1;1;0;0;0;3;0;3;0;6
13;2;257;416;138;249;20; ;13;2; ;31.08.2021;8/31/2021;6;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;3;0;0;0;0;0;1;1;1;0;3
13;1;257;235;292;249;20; ;13;2; ;31.08.2021;8/31/2021;4;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;0;3;0;0;0;0;0;1;1;1;0;3
13;2;257;235;139;250;20; ;13;2; ;31.08.2021;8/31/2021;3;2; ; ;1;8; ; ; ; ; ;2; ;1; ; ;0;0;3;0;0;0;0;0;1;1;1;0;3
14;1;257;237;139;249;20; ;14;1; ;31.08.2021;8/31/2021;2;2; ; ;1;8; ; ; ; ; ;2; ;1; ; ;0;2;7;0;1;0;0;1;3;1;5;0;9
14;1;257;237;292;249;20; ;14;1; ;31.08.2021;8/31/2021;2;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;2;7;0;1;0;0;1;3;1;5;0;9
14;2;256;274;292;249;20; ;14;1; ;31.08.2021;8/31/2021;6;1; ;1; ;5; ; ; ; ;1;3; ; ;1; ;0;2;7;0;1;0;0;1;3;1;5;0;9
14;2;257;236;292;249;20; ;14;1; ;31.08.2021;8/31/2021;5;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;2;7;0;1;0;0;1;3;1;5;0;9
14;2;258;276;138;249;20; ;14;1; ;31.08.2021;8/31/2021;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;2;7;0;1;0;0;1;3;1;5;0;9
14;2;258;235;138;249;20;21/01/2019;14;1; ;31.08.2021;8/31/2021;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;2;7;0;1;0;0;1;3;1;5;0;9
14;2;258;273;138;249;20; ;14;1; ;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;0;2;7;0;1;0;0;1;3;1;5;0;9
14;2;256;239;292;250;20; ;14;1; ;31.08.2021;8/31/2021;3;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;0;2;7;0;1;0;0;1;3;1;5;0;9
14;1;258;235;292;21;20; ;14;1; ;31.08.2021;8/31/2021;3;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;2;7;0;1;0;0;1;3;1;5;0;9
15;1;257;235;292;48;391;01/01/2019;15;2; ;31.08.2021;8/31/2021;6;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;0;1;0;0;0;0;0;0;0;1;0;1
16;2;257;235;138;249;20; ;16;2; ;31.08.2021;8/31/2021;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;5;0;0;0;1;0;4;0;1;0;5
16;2;257;232;292;389;20; ;16;2; ;31.08.2021;8/31/2021;5;2; ; ;1;4; ; ; ;1; ;3; ; ;1; ;0;0;5;0;0;0;1;0;4;0;1;0;5
16;2;258;237;138;249;20; ;16;2; ;31.08.2021;8/31/2021;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;5;0;0;0;1;0;4;0;1;0;5
16;1;258;416;138;21;20; ;16;2; ;31.08.2021;8/31/2021;4;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;5;0;0;0;1;0;4;0;1;0;5
16;1;260;276;138;249;20; ;16;2; ;31.08.2021;8/31/2021;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;5;0;0;0;1;0;4;0;1;0;5
17;1;257;237;138;249;20;28/11/2018;17;2; ;31.08.2021;8/31/2021;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;0;3;0;0;0;0;0;2;0;1;0;3
