IBGE;q25_3;q25_8;q25_9;q25_10;q25_11;q25_12;q25_13;Nome_UF;Região;Q_incompleto;DataCenso;DataCenso_2020;Faixas_etarias;d25_8;d25_8bin1;d25_8bin2;d25_8bin3;d25_9;d25_9bin1;d25_9bin2;d25_9bin3;d25_9bin4;d25_9bin5;d25_10;d25_10bin1;d25_10bin2;d25_10bin3;d25_10bin4;d25_8bin1_sum;d25_8bin2_sum;d25_8bin3_sum;d25_9bin1_sum;d25_9bin2_sum;d25_9bin3_sum;d25_9bin4_sum;d25_9bin5_sum;d25_10bin1_sum;d25_10bin2_sum;d25_10bin3_sum;d25_10bin4_sum;nu_trabalhador
23;1;255;238;264;250;263;06/04/2005;23;2; ;31.08.2020;8/31/2020;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;255;238;264;250;263;08/08/2012;23;2; ;31.08.2020;8/31/2020;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;257;237;264;249;263;01/02/2006;23;2; ;31.08.2020;8/31/2020;3;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;255;238;139;250;263;02/09/2013;23;2; ;31.08.2020;8/31/2020;3;1; ;1; ;6; ; ; ; ; ;2; ;1; ; ;0;11;7;0;0;0;0;0;5;3;0;10;18
23;2;256;238;138;250;20;01/11/2016;23;2; ;31.08.2020;8/31/2020;6;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;256;238;293;250;20;02/01/2015;23;2; ;31.08.2020;8/31/2020;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;257;237;138;249;20;29/04/1985;23;2; ;31.08.2020;8/31/2020;6;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;257;237;138;250;18;19/04/1982;23;2; ;31.08.2020;8/31/2020;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;11;7;0;0;0;0;0;5;3;0;10;18
23;2;257;237;138;249;20;03/05/1984;23;2; ;31.08.2020;8/31/2020;5;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;257;236;138;249;263;20/04/1981;23;2; ;31.08.2020;8/31/2020;6;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;11;7;0;0;0;0;0;5;3;0;10;18
23;2;257;237;139;249;20;22/09/2014;23;2; ;31.08.2020;8/31/2020;3;2; ; ;1;8; ; ; ; ; ;2; ;1; ; ;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;255;238;264;250;20;01/06/2002;23;2; ;31.08.2020;8/31/2020;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;255;238;139;250;263;02/08/2002;23;2; ;31.08.2020;8/31/2020;3;1; ;1; ;6; ; ; ; ; ;2; ;1; ; ;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;255;238;293;250;20;05/08/2015;23;2; ;31.08.2020;8/31/2020;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;256;238;293;250;18; ;23;2; ;31.08.2020;8/31/2020;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;255;238;264;250;263;18/01/2010;23;2; ;31.08.2020;8/31/2020;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
23;1;257;237;293;250;20;01/06/2012;23;2; ;31.08.2020;8/31/2020;3;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;0;11;7;0;0;0;0;0;5;3;0;10;18
24;2;256;239;292;251;20;02/01/2019;24;2; ;31.08.2020;8/31/2020;2;1; ;1; ;8; ; ; ; ; ;3; ; ;1; ;0;1;2;0;1;0;0;0;0;0;3;0;3
24;2;257;237;292;249;20;02/01/2019;24;2; ;31.08.2020;8/31/2020;2;2; ; ;1;8; ; ; ; ; ;3; ; ;1; ;0;1;2;0;1;0;0;0;0;0;3;0;3
