IBGE;NU_IDENTIFICADOR;q37_3;q37_9;q37_10;q37_11;q37_12;q37_13;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2021;d_30_2_Faixas_etarias;d37_9;d37_11;d37_9bin1;d37_9bin2;d37_9bin3;d37_10bin1;d37_10bin2;d37_10bin3;d37_10bin4;d37_10bin5;d37_11bin1;d37_11bin2;d37_11bin3;d37_11bin4;d37_9bin1_sum;d37_9bin2_sum;d37_9bin3_sum;d37_10bin1_sum;d37_10bin2_sum;d37_10bin3_sum;d37_10bin4_sum;d37_10bin5_sum;d37_11bin1_sum;d37_11bin2_sum;d37_11bin3_sum;d37_11bin4_sum;nu_familias_acolhedoras
530010;5300103310442;0;253;239;265;388;27/08/2019;5300108;53;5;Brasília;2570160;2482210;87950;Metrópole;5779,997; ;2;31.08.2021;8/31/2021;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;4;27; ; ; ;1;3; ; ; ;32;32
110020;1100203309440;0;257;237;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;6;2; ; ; ; ; ; ; ; ;9;9
110020;1100203309440;0;258;281;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;5;2;4; ; ;1; ; ; ; ; ; ; ; ;1;1;6;2; ; ; ; ; ; ; ; ;9;9
110020;1100203309440;1;255;239;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;6;2; ; ; ; ; ; ; ; ;9;9
110020;1100203309440;0;255;239;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;6;2; ; ; ; ; ; ; ; ;9;9
110020;1100203309440;1;255;238;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;6;2; ; ; ; ; ; ; ; ;9;9
110020;1100203309440;0;255;238;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;6;2; ; ; ; ; ; ; ; ;9;9
110020;1100203309440;1;252;239;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;2;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;6;2; ; ; ; ; ; ; ; ;9;9
110020;1100203309440;0;255;239;265;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;6;2; ; ; ; ; ; ; ; ;9;9
110020;1100203309440;0;255;239;291;388;20/09/2018;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;6;2; ; ; ; ; ; ; ; ;9;9
