IBGE;NU_IDENTIFICADOR;q40_3;q40_9;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;DataCenso;DataCenso_2021;d40_2_Faixas_etarias;d40_9;d40_11;d40_9bin1;d40_9bin2;d40_9bin3;d40_10bin1;d40_10bin2;d40_10bin3;d40_10bin4;d40_10bin5;d40_11bin1;d40_11bin2;d40_11bin3;d40_11bin4;d40_9bin1_sum;d40_9bin2_sum;d40_9bin3_sum;d40_10bin1_sum;d40_10bin2_sum;d40_10bin3_sum;d40_10bin4_sum;d40_10bin5_sum;d40_11bin1_sum;d40_11bin2_sum;d40_11bin3_sum;d40_11bin4_sum;nu_trabalhadores
150510;1505103306376;0;257;238;138;216;20;01/01/2021;1505106;15;1;Óbidos;49333;25466;23867;Pequeno II;28021,443; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ;3; ;1; ; ;1;1; ; ;2;3
150563;1505633308394;0;257;274;266;218;20;30/04/2015;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;3;1;1; ; ;1; ; ; ;3;3
150563;1505633308394;0;257;275;266;21;20;30/04/2015;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1; ; ;3;1;1; ; ;1; ; ; ;3;3
150563;1505633308394;1;257;273;266;218;18;05/06/2015;1505635;15;1;Piçarra;12697;3581;9116;Pequeno I;3312,708; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;3;1;1; ; ;1; ; ; ;3;3
150680;1506803308526;0;257;273;266;21;20;03/02/2021;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389; ;2;31.08.2021;8/31/2021;3;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;1; ;1; ; ; ; ; ; ;1;1
160060;1600603310408;0;257;273;142;218;18;04/04/2021;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1; ; ;2; ;1; ; ;1; ; ; ;2;2
160060;1600603310408;0;258;274;142;218;272;04/04/2021;1600600;16;1;Santana;101262;99111;2151;Grande;1541,224; ;2;31.08.2021;8/31/2021;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;2; ;1; ; ;1; ; ; ;2;2
170210;1702103305126;0;257;273;138;21;20;31/08/2021;1702109;17;1;Araguaína;150484;142925;7559;Grande;4000,416; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;3; ;2; ; ;1;2; ; ;1;3
170210;1702103305126;0;257;274;266;218;20;04/01/2021;1702109;17;1;Araguaína;150484;142925;7559;Grande;4000,416; ;2;31.08.2021;8/31/2021;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1; ; ;3; ;2; ; ;1;2; ; ;1;3
170210;1702103305126;0;258;273;138;218;272;06/05/2021;1702109;17;1;Araguaína;150484;142925;7559;Grande;4000,416; ;2;31.08.2021;8/31/2021;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ; ; ;3; ;2; ; ;1;2; ; ;1;3
