NU_IDENTIFICADOR;IBGE;IBGE7;Regiao;UF;Município;Municipio_2013;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;Q_completo;q33_3;q33_9;q33_10;q33_11;q33_12;q33_13;q33_14;q33_15_1;q33_15_2;q33_15_3;q33_5_velha;q33_14_velha;DataCenso;DataCenso_2019;q33_2_rec;Idade;Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
42091094704;420910;4209102;4;42;Joinville;Joinville;1130,88;515288;497850;17438;4;0;1;257;238;138;251;18;17/05/2018;1;4; ;236810145;17/05/2018;31.08.2019;8/31/2019;7/19/1977;42;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;8;20;1;4;0;0;2;28;0;0;0;28
42091094704;420910;4209102;4;42;Joinville;Joinville;1130,88;515288;497850;17438;4;0;2;255;239;138;252;18;01/08/2013;99; ; ;32440758;01/08/2013;31.08.2019;8/31/2019;9/1/1968;50;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;8;20;1;4;0;0;2;28;0;0;0;28
42091094704;420910;4209102;4;42;Joinville;Joinville;1130,88;515288;497850;17438;4;0;1;255;239;138;252;18;01/08/2016;2; ; ;1866226;01/08/2016;31.08.2019;8/31/2019;7/2/1969;50;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;8;20;1;4;0;0;2;28;0;0;0;28
42091094704;420910;4209102;4;42;Joinville;Joinville;1130,88;515288;497850;17438;4;0;2;257;239;138;252;18;01/12/2015;2; ; ;7402897;01/12/2015;31.08.2019;8/31/2019;6/21/1975;44;3;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;8;20;1;4;0;0;2;28;0;0;0;28
42091094704;420910;4209102;4;42;Joinville;Joinville;1130,88;515288;497850;17438;4;0;1;255;239;138;254;18;01/02/2018;2; ; ;6998364;01/02/2018;31.08.2019;8/31/2019;11/5/1969;49;3;1;1; ;1; ; ; ; ; ; ;1; ; ; ;0;8;20;1;4;0;0;2;28;0;0;0;28
42091094704;420910;4209102;4;42;Joinville;Joinville;1130,88;515288;497850;17438;4;0;2;257;273;138;21;20;23/09/2019;1; ; ;5220785;23/09/2019;31.08.2019;8/31/2019;12/21/1982;36;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;8;20;1;4;0;0;2;28;0;0;0;28
42091094704;420910;4209102;4;42;Joinville;Joinville;1130,88;515288;497850;17438;4;0;1;258;238;138;248;20;11/03/2019;2; ; ;4354904;11/03/2019;31.08.2019;8/31/2019;9/23/1985;33;2;2;1; ; ;1; ; ; ; ; ;1; ; ; ;0;8;20;1;4;0;0;2;28;0;0;0;28
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;257;273;138;21;18;31/03/2017;1;2; ;2593123;31/03/2017;31.08.2019;8/31/2019;12/18/1976;42;3;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;257;273;138;249;18;01/03/2017;3; ; ;4069457;01/03/2017;31.08.2019;8/31/2019;4/22/1984;35;2;2;1; ; ;1; ;1; ; ; ;1; ; ; ;0;7;8;0;3;0;0;3;9;0;0;6;15
42093098048;420930;4209300;4;42;Lages;Lages;2644,31;156727;153937;2790;4;0;1;257;274;138;249;18;17/07/2018;3; ; ;4101751;17/07/2018;31.08.2019;8/31/2019;12/14/1985;33;2;2;1; ; ;1; ; ; ; ;1;1; ; ; ;0;7;8;0;3;0;0;3;9;0;0;6;15
