IBGE;q_16_3;q_16_8;q_16_9;q_16_10;q_16_11;q_16_12;q_16_13;UF;Região;DataCenso;DataCenso_2018;q_16_2_rec;Idade;Faixas_etarias;d_16_8;d_16_10;d_16_8bin1;d_16_8bin2;d_16_8bin3;d_16_9bin1;d_16_9bin2;d_16_9bin3;d_16_9bin4;d_16_9bin5;d_16_10bin1;d_16_10bin2;d_16_10bin3;d_16_10bin4;d_16_8bin1_sum;d_16_8bin2_sum;d_16_8bin3_sum;d_16_9bin1_sum;d_16_9bin2_sum;d_16_9bin3_sum;d_16_9bin4_sum;d_16_9bin5_sum;d_16_10bin1_sum;d_16_10bin2_sum;d_16_10bin3_sum;d_16_10bin4_sum;nu_trabalhadores
26;1;253;239;138;250;262; ;26;2;31.08.2018;8/31/2018;2/10/1947;71;5;0;1;1; ; ; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;255;238;138;250;262; ;26;2;31.08.2018;8/31/2018;2/10/1964;54;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;255;238;138;250;262; ;26;2;31.08.2018;8/31/2018;3/28/1964;54;4;1;1; ;1; ; ; ; ; ; ;1; ; ; ;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;258;235;293;249;262; ;26;2;31.08.2018;8/31/2018;9/18/1968;49;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;4;7; ;2; ; ; ;7; ;3;3;13
26;1;255;238;292;251;262; ;26;2;31.08.2018;8/31/2018;12/13/1975;42;3;1;3; ;1; ; ; ; ; ; ; ; ;1; ;2;4;7; ;2; ; ; ;7; ;3;3;13
27;1;258;237;292;249;20;12/04/2017;27;2;31.08.2018;8/31/2018;9/21/1981;36;2;2;3; ; ;1; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;255;238;292;389;20;09/01/2017;27;2;31.08.2018;8/31/2018;11/30/1981;36;2;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;256;238;292;250;20;02/02/2017;27;2;31.08.2018;8/31/2018;12/18/1991;26;1;1;3; ;1; ; ; ; ; ; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
27;2;258;235;142;253;18;02/04/2018;27;2;31.08.2018;8/31/2018;1/22/1990;28;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1; ;6;11; ; ; ;1; ;5; ;9;3;17
27;1;257;232;292;389;20;18/01/2017;27;2;31.08.2018;8/31/2018;12/7/1991;26;1;2;3; ; ;1; ; ; ;1; ; ; ;1; ; ;6;11; ; ; ;1; ;5; ;9;3;17
