NU_IDENTIFICADOR;IBGE;IBGE7;Região;UF;Município;area;Pop_Total2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;q44_3;q44_9;q44_10;q44_11;q44_12;q44_13;q44_14;q44_15_1;q44_15_2;q44_15_3;DataCenso;DataCenso_2020;q44_2_rec;Idade;Faixas_etarias;d_44_9;d_44_11;d_44_9bin1;d_44_9bin2;d_44_9bin3;d_44_10bin1;d_44_10bin2;d_44_10bin3;d_44_10bin4;d_44_10bin5;d_44_11bin1;d_44_11bin2;d_44_11bin3;d_44_11bin4;d_44_9bin1_sum;d_44_9bin2_sum;d_44_9bin3_sum;d_44_10bin1_sum;d_44_10bin2_sum;d_44_10bin3_sum;d_44_10bin4_sum;d_44_10bin5_sum;d_44_11bin1_sum;d_44_11bin2_sum;d_44_11bin3_sum;d_44_11bin4_sum;nu_trabalhadores;d_44_15_1bin_Gestão;d_44_15_1bin_PopRua;d_44_15_1bin_Abordagem;d_44_15_1bin_Cadastramento;d_44_15_1bin_Outros;d_44_15_2bin_Gestão;d_44_15_2bin_PopRua;d_44_15_2bin_Abordagem;d_44_15_2bin_Cadastramento;d_44_15_2bin_Outros;d_44_15_3bin_Gestão;d_44_15_3bin_PopRua;d_44_15_3bin_Abordagem;d_44_15_3bin_Cadastramento;d_44_15_3bin_Outros;Gestao;PopRua;Abordagem;Cadastramento;Outros;d_44_15_1bin_Gestão_sum;d_44_15_1bin_PopRua_sum;d_44_15_1bin_Abordagem_sum;d_44_15_1bin_Cadastramento_sum;d_44_15_1bin_Outros_sum;d_44_15_2bin_Gestão_sum;d_44_15_2bin_PopRua_sum;d_44_15_2bin_Abordagem_sum;d_44_15_2bin_Cadastramento_sum;d_44_15_2bin_Outros_sum;d_44_15_3bin_Gestão_sum;d_44_15_3bin_PopRua_sum;d_44_15_3bin_Abordagem_sum;d_44_15_3bin_Cadastramento_sum;d_44_15_3bin_Outros_sum
41.255.095.964;412.550;4.125.506;4;41;São José Dos Pinhais;945,72;264.210,0000000000000000;236.895,0;27.315,0;4;0;255;238;292;248;20;22/02/2017;2;3;;31.08.2020;31-ago-2020;15-fev-1980;40;2,00;1,00;3,00;;1,00;;;;;;;;;1,00;;1,00;6,00;11,00;4,00;1,00;0,00;0,00;1,00;14,00;0,00;4,00;0,00;18;;1,00;;;;;;1,00;;;;;;;;;1,00;1,00;;;3,00;9,00;3,00;;2,00;;2,00;2,00;2,00;;;;;;
41.255.095.964;412.550;4.125.506;4;41;São José Dos Pinhais;945,72;264.210,0000000000000000;236.895,0;27.315,0;4;0;257;238;138;248;20;05/03/2018;3;2;;31.08.2020;31-ago-2020;02-ago-1985;35;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;6,00;11,00;4,00;1,00;0,00;0,00;1,00;14,00;0,00;4,00;0,00;18;;;1,00;;;;1,00;;;;;;;;;;1,00;1,00;;;3,00;9,00;3,00;;2,00;;2,00;2,00;2,00;;;;;;
41.255.095.964;412.550;4.125.506;4;41;São José Dos Pinhais;945,72;264.210,0000000000000000;236.895,0;27.315,0;4;1;255;238;292;21;272;03/06/2020;1;;;31.08.2020;31-ago-2020;13-mar-1985;35;2,00;1,00;3,00;;1,00;;;;;;;;;1,00;;1,00;6,00;11,00;4,00;1,00;0,00;0,00;1,00;14,00;0,00;4,00;0,00;18;1,00;;;;;;;;;;;;;;;1,00;;;;;3,00;9,00;3,00;;2,00;;2,00;2,00;2,00;;;;;;
41.255.095.964;412.550;4.125.506;4;41;São José Dos Pinhais;945,72;264.210,0000000000000000;236.895,0;27.315,0;4;0;257;238;138;254;20;01/06/2013;99;;;31.08.2020;31-ago-2020;19-abr-1985;35;2,00;2,00;1,00;;;1,00;;;;;;1,00;;;;1,00;6,00;11,00;4,00;1,00;0,00;0,00;1,00;14,00;0,00;4,00;0,00;18;;;;;1,00;;;;;;;;;;;;;;;1,00;3,00;9,00;3,00;;2,00;;2,00;2,00;2,00;;;;;;
41.255.095.964;412.550;4.125.506;4;41;São José Dos Pinhais;945,72;264.210,0000000000000000;236.895,0;27.315,0;4;0;257;238;292;254;272;25/11/2019;1;;;31.08.2020;31-ago-2020;19-mar-1985;35;2,00;2,00;3,00;;;1,00;;;;;;;;1,00;;1,00;6,00;11,00;4,00;1,00;0,00;0,00;1,00;14,00;0,00;4,00;0,00;18;1,00;;;;;;;;;;;;;;;1,00;;;;;3,00;9,00;3,00;;2,00;;2,00;2,00;2,00;;;;;;
41.255.095.964;412.550;4.125.506;4;41;São José Dos Pinhais;945,72;264.210,0000000000000000;236.895,0;27.315,0;4;0;257;273;138;249;18;12/06/2017;3;4;;31.08.2020;31-ago-2020;12-ago-1988;32;2,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;1,00;6,00;11,00;4,00;1,00;0,00;0,00;1,00;14,00;0,00;4,00;0,00;18;;;1,00;;;;;;1,00;;;;;;;;;1,00;;;3,00;9,00;3,00;;2,00;;2,00;2,00;2,00;;;;;;
41.255.095.964;412.550;4.125.506;4;41;São José Dos Pinhais;945,72;264.210,0000000000000000;236.895,0;27.315,0;4;0;257;275;138;248;20;10/05/2015;2;;;31.08.2020;31-ago-2020;04-out-1989;30;2,00;2,00;1,00;;;1,00;1,00;;;;;1,00;;;;1,00;6,00;11,00;4,00;1,00;0,00;0,00;1,00;14,00;0,00;4,00;0,00;18;;1,00;;;;;;;;;;;;;;;1,00;;;;3,00;9,00;3,00;;2,00;;2,00;2,00;2,00;;;;;;
41.255.095.964;412.550;4.125.506;4;41;São José Dos Pinhais;945,72;264.210,0000000000000000;236.895,0;27.315,0;4;1;257;274;138;249;20;10/06/2020;2;;;31.08.2020;31-ago-2020;11-dez-1990;29;1,00;2,00;1,00;;;1,00;;;;;1,00;1,00;;;;1,00;6,00;11,00;4,00;1,00;0,00;0,00;1,00;14,00;0,00;4,00;0,00;18;;1,00;;;;;;;;;;;;;;;1,00;;;;3,00;9,00;3,00;;2,00;;2,00;2,00;2,00;;;;;;
41.255.095.964;412.550;4.125.506;4;41;São José Dos Pinhais;945,72;264.210,0000000000000000;236.895,0;27.315,0;4;0;257;275;138;248;20;10/11/2017;2;;;31.08.2020;31-ago-2020;07-jul-1994;26;1,00;2,00;1,00;;;1,00;1,00;;;;;1,00;;;;1,00;6,00;11,00;4,00;1,00;0,00;0,00;1,00;14,00;0,00;4,00;0,00;18;;1,00;;;;;;;;;;;;;;;1,00;;;;3,00;9,00;3,00;;2,00;;2,00;2,00;2,00;;;;;;
41.281.097.928;412.810;4.128.104;4;41;Umuarama;1.232,80;100.676,0000000000000000;93.455,0;7.221,0;4;0;257;273;138;249;18;06/02/2012;2;1;99;31.08.2020;31-ago-2020;03-ago-1959;61;5,00;2,00;1,00;;;1,00;;1,00;;;;1,00;;;;1,00;7,00;8,00;1,00;2,00;0,00;0,00;1,00;8,00;4,00;2,00;2,00;16;;1,00;;;;1,00;;;;;;;;;1,00;1,00;1,00;;;1,00;3,00;3,00;2,00;;7,00;6,00;3,00;3,00;2,00;1,00;2,00;6,00;;;7,00
