IBGE;NU_IDENTIFICADOR;q47_3;q47_8;q47_9;q47_10;q47_11;q47_12;q47_13;q47_14;q47_15;IBGE7;UF;Regiao;Município;areaKm2;Nome_UF;Pop_total_2022;Porte_pop2022;Q_incompleto;q1;DataCenso;DataCenso_2024;Faixas_etarias;d_47_8;d_47_8bin1;d_47_8bin2;d_47_8bin3;d_47_9;d_47_9bin1;d_47_9bin2;d_47_9bin3;d_47_9bin4;d_47_9bin5;d_47_10;d_47_10bin1;d_47_10bin2;d_47_10bin3;d_47_10bin4;d_47_8bin1_sum;d_47_8bin2_sum;d_47_8bin3_sum;d_47_9bin1_sum;d_47_9bin2_sum;d_47_9bin3_sum;d_47_9bin4_sum;d_47_9bin5_sum;d_47_10bin1_sum;d_47_10bin2_sum;d_47_10bin3_sum;d_47_10bin4_sum;nu_trabalhador;d_47_14_1bin_Gestão;d_47_14_1bin_PAIF;d_47_14_1bin_SCFV;d_47_14_1bin_PSB;d_47_14_1bin_Cadastramento;d_47_14_1bin_Beneficios;d_47_14_1bin_PCF;d_47_14_1bin_Outros;d_47_15_2bin_Gestão;d_47_15_2bin_PAIF;d_47_15_2bin_SCFV;d_47_15_2bin_PSB;d_47_15_2bin_Cadastramento;d_47_15_2bin_Beneficios;d_47_15_2bin_PCF;d_47_15_2bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_47_14_1bin_Gestão_sum;d_47_14_1bin_PAIF_sum;d_47_14_1bin_SCFV_sum;d_47_14_1bin_PSB_sum;d_47_14_1bin_Cadastramento_sum;d_47_14_1bin_Beneficios_sum;d_47_14_1bin_PCF_sum;d_47_14_1bin_Outros_sum;d_47_15_2bin_Gestão_sum;d_47_15_2bin_PAIF_sum;d_47_15_2bin_SCFV_sum;d_47_15_2bin_PSB_sum;d_47_15_2bin_Cadastramento_sum;d_47_15_2bin_Beneficios_sum;d_47_15_2bin_PCF_sum;d_47_15_2bin_Outros_sum
110001;11100013331; Feminino;Superior Completo;Outra(o) profissional de nível superior; Servidor(a) Temporária(o); Coordenador(a); De 41 a 44 horas semanais;10/01/2024; Atividades de gestão (administrativo); ;1100015;Rondonia;Região Norte; ;7067,127;RO;21494;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;0;0;4;1;0;0;1;1;1;1;1;1;4;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; 
110001;11100013331; Masculino;Superior Completo;Advogada(o); Servidor(a)/Estatutário(a); Técnico(a) de nível superior; De 31 a 40 horas semanais;01/01/2017; Atividades de gestão (administrativo); ;1100015;Rondonia;Região Norte; ;7067,127;RO;21494;Pequeno II;completo;Municipal;31.08.2024;8/31/2024;41 a 50 anos;Nível Superior; ; ;Nível Superior;Advogado; ; ; ;Advogado; ;Servidor Estatutário;Servidor Estatutário; ; ; ;0;0;4;1;0;0;1;1;1;1;1;1;4;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; 
110002;11100021119; Masculino;Superior Completo;Outra(o) profissional de nível superior; Comissionada(o); Coordenador(a); De 31 a 40 horas semanais;01/09/2023; Atividades de gestão (administrativo); Outros;1100023;Rondonia;Região Norte; ;4426,571;RO;96833;Medio;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ;0;3;10;2;3;0;0;4;5;2;4;2;13;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;4;6; ;1; ; ; ;2;9;1; ; ; ; ; ;3
110002;11100021119; Feminino;Superior Completo; Psicóloga(o); Comissionada(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;18/10/2023; Atividades de gestão (administrativo); Outros;1100023;Rondonia;Região Norte; ;4426,571;RO;96833;Medio;completo;Municipal;31.08.2024;8/31/2024;18 a 29 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Comissionado; ; ;Comissionado; ;0;3;10;2;3;0;0;4;5;2;4;2;13;Gestão; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Outros;1; ; ; ; ; ; ;1;4;6; ;1; ; ; ;2;9;1; ; ; ; ; ;3
110002;11100021119; Feminino; Especialização; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;09/05/2023; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Atividades de gestão (administrativo);1100023;Rondonia;Região Norte; ;4426,571;RO;96833;Medio;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;0;3;10;2;3;0;0;4;5;2;4;2;13; ;PAIF; ; ; ; ; ; ;Gestão; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;4;6; ;1; ; ; ;2;9;1; ; ; ; ; ;3
110002;11100021119; Masculino; Médio Completo; Profissional de nível médio; Comissionada(o); Outros; De 31 a 40 horas semanais;11/09/2023; Outros; Atividades de gestão (administrativo);1100023;Rondonia;Região Norte; ;4426,571;RO;96833;Medio;completo;Municipal;31.08.2024;8/31/2024;Mais de 60 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Comissionado; ; ;Comissionado; ;0;3;10;2;3;0;0;4;5;2;4;2;13; ; ; ; ; ; ; ;Outros;Gestão; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;4;6; ;1; ; ; ;2;9;1; ; ; ; ; ;3
110002;11100021119; Feminino; Especialização; Psicóloga(o); Servidor(a)/Estatutário(a); Técnico(a) de nível superior; De 31 a 40 horas semanais;10/01/2012; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Atividades de gestão (administrativo);1100023;Rondonia;Região Norte; ;4426,571;RO;96833;Medio;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Servidor Estatutário;Servidor Estatutário; ; ; ;0;3;10;2;3;0;0;4;5;2;4;2;13; ;PAIF; ; ; ; ; ; ;Gestão; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;4;6; ;1; ; ; ;2;9;1; ; ; ; ; ;3
110002;11100021119; Feminino;Superior Completo; Psicóloga(o); Servidor(a) Temporária(o); Técnico(a) de nível superior; De 31 a 40 horas semanais;01/07/2023; Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos; Atividades de gestão (administrativo);1100023;Rondonia;Região Norte; ;4426,571;RO;96833;Medio;completo;Municipal;31.08.2024;8/31/2024;30 a 40 anos;Nível Superior; ; ;Nível Superior;Psicólogo; ; ; ; ;Psicólogo;Outros vínculos não permanentes; ; ; ;Outros vínculos não permanentes;0;3;10;2;3;0;0;4;5;2;4;2;13; ;PAIF; ; ; ; ; ; ;Gestão; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;4;6; ;1; ; ; ;2;9;1; ; ; ; ; ;3
110002;11100021119; Feminino; Especialização; Pedagoga(o); Servidor(a)/Estatutário(a); Técnico(a) de nível superior; De 31 a 40 horas semanais;04/04/2008; Atividades de gestão (administrativo); Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos;1100023;Rondonia;Região Norte; ;4426,571;RO;96833;Medio;completo;Municipal;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior; ; ;Nível Superior;Pedagogo;Pedagogo; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;0;3;10;2;3;0;0;4;5;2;4;2;13;Gestão; ; ; ; ; ; ; ; ;PAIF; ; ; ; ; ; ;1;1; ; ; ; ; ; ;4;6; ;1; ; ; ;2;9;1; ; ; ; ; ;3
110002;11100021119; Feminino;Superior Completo; Pedagoga(o); Servidor(a)/Estatutário(a); Técnico(a) de nível superior; De 31 a 40 horas semanais;17/07/2003; Serviço Especializado em Abordagem Social; Atividades de gestão (administrativo);1100023;Rondonia;Região Norte; ;4426,571;RO;96833;Medio;completo;Municipal;31.08.2024;8/31/2024;51 a 60 anos;Nível Superior; ; ;Nível Superior;Pedagogo;Pedagogo; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;0;3;10;2;3;0;0;4;5;2;4;2;13; ; ; ;Serviço de PSB no domicílio; ; ; ; ;Gestão; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ;4;6; ;1; ; ; ;2;9;1; ; ; ; ; ;3
