IBGE;IBGE7;UF;Regiao;Município;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_Municipal;NU_IDENTIFICADOR;q_33_2;q_33_3;q_33_9;q_33_10;q_33_11;q_33_12;q_33_13;q_33_14;DataCenso;DataCenso_2018;q_33_2_rec;Idade;d_33_2_Faixas_etarias;d_33_9;d_33_11;d_33_9bin1;d_33_9bin2;d_33_9bin3;d_33_10bin1;d_33_10bin2;d_33_10bin3;d_33_10bin4;d_33_10bin5;d_33_11bin1;d_33_11bin2;d_33_11bin3;d_33_11bin4;d_33_9bin1_sum;d_33_9bin2_sum;d_33_9bin3_sum;d_33_10bin1_sum;d_33_10bin2_sum;d_33_10bin3_sum;d_33_10bin4_sum;d_33_10bin5_sum;d_33_11bin1_sum;d_33_11bin2_sum;d_33_11bin3_sum;d_33_11bin4_sum;nu_trabalhadores
150230;1502301;15;1;Capitão Poço;434556;51893;21441;30452;3;2899,553;1;1502303306524;27/01/1963;1;257;275;266;21;272;13/03/2018;31.08.2018;8/31/2018;1/27/1963;55;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;0;0;3;1;1;0;0;1;0;0;0;3;3
150320;1503200;15;1;Igarapé-Açu;382765;35887;21207;14680;2;785,983;1;1503203308388;08/03/1989;0;257;275;266;218;272;01/08/2017;31.08.2018;8/31/2018;3/8/1989;29;1;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;1;5;1;2;0;1;1;1;0;0;6;7
150320;1503200;15;1;Igarapé-Açu;382765;35887;21207;14680;2;785,983;1;1503203308388;29/04/1990;1;257;273;266;218;18;01/02/2018;31.08.2018;8/31/2018;4/29/1990;28;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1;1;1;5;1;2;0;1;1;1;0;0;6;7
150320;1503200;15;1;Igarapé-Açu;382765;35887;21207;14680;2;785,983;1;1503203308388;27/08/1993;1;257;274;266;218;20;26/02/2018;31.08.2018;8/31/2018;8/27/1993;25;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;1;1;5;1;2;0;1;1;1;0;0;6;7
150320;1503200;15;1;Igarapé-Açu;382765;35887;21207;14680;2;785,983;1;1503203308388;07/04/1999;1;256;238;266;216;20;03/09/2018;31.08.2018;8/31/2018;4/7/1999;19;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;0;1;1;1;0;0;6;7
150320;1503200;15;1;Igarapé-Açu;382765;35887;21207;14680;2;785,983;1;1503203308388;08/10/1963;1;257;273;138;21;272;02/01/2017;31.08.2018;8/31/2018;10/8/1963;54;4;2;1; ; ;1; ;1; ; ; ;1; ; ; ;1;1;5;1;2;0;1;1;1;0;0;6;7
150320;1503200;15;1;Igarapé-Açu;382765;35887;21207;14680;2;785,983;1;1503203308388;01/06/1970;1;252;239;266;220;20;29/05/2017;31.08.2018;8/31/2018;6/1/1970;48;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;1;1;5;1;2;0;1;1;1;0;0;6;7
150320;1503200;15;1;Igarapé-Açu;382765;35887;21207;14680;2;785,983;1;1503203308388;23/04/1988;1;257;232;266;218;20;23/04/2018;31.08.2018;8/31/2018;4/23/1988;30;2;2;4; ; ;1; ; ; ;1; ; ; ; ;1;1;1;5;1;2;0;1;1;1;0;0;6;7
150510;1505106;15;1;Óbidos;184339;49333;25466;23867;2;28021,443;1;1505103306376;27/12/1990;0;255;238;266;217;18;04/01/2016;31.08.2018;8/31/2018;12/27/1990;27;1;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;1;3;0;1;0;1;1;0;0;0;4;4
150510;1505106;15;1;Óbidos;184339;49333;25466;23867;2;28021,443;1;1505103306376;26/01/1993;1;257;274;266;218;20;01/03/2017;31.08.2018;8/31/2018;1/26/1993;25;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;1;3;0;1;0;1;1;0;0;0;4;4
